order_id,order_date,revenue,region,product_category,customer_type,marketing_channel,units,discount_percent,gross_margin,payment_method
ORD-DOXY-000001,2025-01-01,829.33,East,Electronics,New,Paid Search,4,10.82,164.31,Wallet
ORD-UAHD-000002,2025-01-01,37.26,East,Accessories,New,Social,2,9.09,19.75,Wallet
ORD-TSUD-000003,2025-01-01,667.07,East,Electronics,Returning,Paid Search,3,5.52,169.81,Card
ORD-FWVJ-000004,2025-01-01,110.35,West,Apparel,Returning,Organic,2,7.88,46.98,Card
ORD-ILBD-000005,2025-01-01,62.05,West,Accessories,Returning,Email,3,9.05,30.42,Card
ORD-GUSP-000006,2025-01-01,135.59,Central,Sports,Returning,Organic,2,8.24,50.83,Card
ORD-WMKR-000007,2025-01-01,369.35,Central,Sports,New,Paid Search,5,10.32,124.06,Card
ORD-WTVH-000008,2025-01-01,25.32,Central,Accessories,New,Referral,1,13.88,12.51,Card
ORD-DOML-000009,2025-01-01,147.77,South,Apparel,New,Referral,3,14.74,56.46,COD
ORD-LQLZ-000010,2025-01-01,65.69,North,Accessories,New,Social,3,13.56,32.07,Card
ORD-OTDB-000011,2025-01-01,84.92,South,Accessories,New,Organic,3,2.99,45.12,Card
ORD-KGBR-000012,2025-01-01,250.04,Central,Sports,Returning,Email,3,5.76,94.71,Card
ORD-XQQL-000013,2025-01-01,172.02,West,Sports,Returning,Social,2,11.30,56.80,Card
ORD-QQBV-000014,2025-01-01,159.86,South,Home,Returning,Email,2,8.32,52.36,Card
ORD-PCOF-000015,2025-01-01,98.76,South,Apparel,New,Referral,2,12.63,37.05,Card
ORD-OIFD-000016,2025-01-01,73.93,South,Sports,Returning,Email,1,5.51,27.44,Card
ORD-YEOF-000017,2025-01-01,187.48,West,Apparel,Returning,Email,4,10.69,79.58,Card
ORD-TRZQ-000018,2025-01-01,133.79,Central,Beauty,New,Referral,5,18.44,54.54,Bank Transfer
ORD-YVEY-000019,2025-01-01,80.68,West,Sports,New,Email,1,9.18,28.61,Card
ORD-GIQG-000020,2025-01-01,139.85,Central,Sports,New,Social,2,12.53,45.59,Card
ORD-KUOP-000021,2025-01-01,77.42,Central,Sports,Returning,Email,1,12.64,25.23,Card
ORD-RJLJ-000022,2025-01-01,77.45,West,Sports,New,Paid Search,1,7.71,28.80,Card
ORD-OOSH-000023,2025-01-01,177.18,East,Home,Returning,Paid Search,2,6.44,62.39,Card
ORD-TBET-000024,2025-01-01,201.41,Central,Sports,Returning,Paid Search,2,8.07,68.65,Card
ORD-SRNW-000025,2025-01-01,83.63,South,Apparel,New,Organic,2,11.88,34.18,Card
ORD-HROP-000026,2025-01-01,326.92,West,Sports,New,Social,5,22.52,98.48,Bank Transfer
ORD-DOWT-000027,2025-01-01,51.70,North,Accessories,New,Email,2,8.66,26.70,Bank Transfer
ORD-ICFG-000028,2025-01-01,137.28,South,Home,New,Organic,2,17.63,39.09,Wallet
ORD-HDTA-000029,2025-01-01,198.76,West,Electronics,New,Organic,1,13.70,35.70,Card
ORD-SNCT-000030,2025-01-01,34.83,West,Beauty,New,Social,1,9.30,16.99,Card
ORD-MUTN-000031,2025-01-01,103.77,North,Beauty,New,Paid Search,3,10.93,48.66,Wallet
ORD-ORVI-000032,2025-01-01,27.36,East,Accessories,Returning,Social,1,6.13,14.41,Wallet
ORD-OYBW-000033,2025-01-01,210.24,South,Sports,Returning,Email,2,8.03,80.25,COD
ORD-BOJH-000034,2025-01-01,399.33,West,Electronics,Returning,Organic,2,18.57,77.27,Card
ORD-JGCR-000035,2025-01-01,151.86,North,Electronics,New,Referral,1,14.42,35.69,Wallet
ORD-OGVQ-000036,2025-01-01,677.70,North,Electronics,New,Social,5,14.87,142.65,Bank Transfer
ORD-HBIP-000037,2025-01-01,120.62,South,Apparel,Returning,Social,2,1.86,53.79,Card
ORD-HCZZ-000038,2025-01-01,62.72,East,Accessories,Returning,Paid Search,2,11.60,30.53,Card
ORD-AXEO-000039,2025-01-01,107.98,Central,Accessories,Returning,Organic,4,9.43,52.46,Card
ORD-UUCZ-000040,2025-01-01,79.66,North,Beauty,New,Social,2,6.91,40.63,Bank Transfer
ORD-YGPD-000041,2025-01-01,62.70,West,Sports,New,Social,1,15.77,18.52,Card
ORD-WUJL-000042,2025-01-01,85.93,North,Sports,Returning,Email,1,4.32,31.27,Card
ORD-LKQZ-000043,2025-01-01,93.69,West,Home,New,Referral,1,7.63,32.43,Card
ORD-MEJU-000044,2025-01-01,59.05,West,Apparel,Returning,Email,1,16.02,19.97,Card
ORD-WOGB-000045,2025-01-01,610.49,East,Electronics,Returning,Email,3,9.56,136.54,COD
ORD-LOQU-000046,2025-01-01,353.22,East,Electronics,New,Paid Search,2,9.29,88.07,Card
ORD-JTTA-000047,2025-01-01,883.85,West,Electronics,Returning,Social,5,6.60,247.23,Card
ORD-SWWS-000048,2025-01-01,150.08,Central,Home,New,Social,2,15.66,44.64,Wallet
ORD-RYXT-000049,2025-01-01,1014.07,West,Electronics,Returning,Organic,4,8.95,236.90,Card
ORD-XAMW-000050,2025-01-01,158.31,North,Electronics,Returning,Email,1,10.99,33.53,Bank Transfer
ORD-TDHQ-000051,2025-01-02,89.24,North,Sports,Returning,Referral,1,10.63,32.19,Bank Transfer
ORD-CYHW-000052,2025-01-02,252.39,East,Apparel,Returning,Email,5,6.35,100.75,Bank Transfer
ORD-PUPA-000053,2025-01-02,186.43,North,Apparel,Returning,Paid Search,3,9.97,75.39,Wallet
ORD-DZBO-000054,2025-01-02,19.05,West,Accessories,New,Email,1,14.18,8.56,Bank Transfer
ORD-EPDI-000055,2025-01-02,29.16,South,Accessories,Returning,Referral,1,12.33,14.67,Wallet
ORD-AGHC-000056,2025-01-02,42.18,South,Apparel,New,Organic,1,10.15,17.25,Wallet
ORD-QAPA-000057,2025-01-02,314.00,East,Home,Returning,Referral,3,5.34,102.47,Card
ORD-IHQT-000058,2025-01-02,142.27,South,Accessories,Returning,Organic,5,4.65,73.26,Card
ORD-XXLQ-000059,2025-01-02,111.47,Central,Apparel,New,Paid Search,2,6.70,46.80,Wallet
ORD-HXXX-000060,2025-01-02,180.82,East,Sports,Returning,Email,2,6.76,68.07,Bank Transfer
ORD-WVEC-000061,2025-01-02,142.55,North,Accessories,Returning,Referral,5,3.42,79.41,Card
ORD-DTPR-000062,2025-01-02,49.64,West,Apparel,Returning,Email,1,3.20,20.95,Card
ORD-LGLJ-000063,2025-01-02,29.75,North,Beauty,New,Organic,1,14.87,12.77,Bank Transfer
ORD-SWTD-000064,2025-01-02,219.39,West,Electronics,Returning,Paid Search,1,12.64,45.85,Card
ORD-GINJ-000065,2025-01-02,39.48,North,Beauty,Returning,Social,1,9.21,17.10,Card
ORD-IAYW-000066,2025-01-02,574.38,South,Electronics,Returning,Email,3,7.06,157.83,Wallet
ORD-EEYR-000067,2025-01-02,104.45,North,Sports,Returning,Referral,1,8.23,40.99,Card
ORD-AGAX-000068,2025-01-02,275.78,North,Home,New,Referral,3,11.33,88.19,Card
ORD-NZBW-000069,2025-01-02,74.47,East,Sports,Returning,Organic,1,15.73,24.63,Card
ORD-NWMJ-000070,2025-01-02,362.20,South,Sports,Returning,Referral,4,6.83,131.10,Card
ORD-VUJK-000071,2025-01-02,39.32,East,Beauty,Returning,Email,1,7.72,20.13,Card
ORD-MMHT-000072,2025-01-02,382.25,South,Home,New,Referral,4,11.66,121.76,Wallet
ORD-SKEO-000073,2025-01-02,71.81,North,Beauty,Returning,Social,2,8.98,33.60,Card
ORD-WZTD-000074,2025-01-02,152.90,Central,Home,Returning,Social,2,9.09,50.31,Wallet
ORD-VKCE-000075,2025-01-02,415.37,Central,Sports,Returning,Email,5,9.35,152.88,Card
ORD-JTOM-000076,2025-01-02,149.81,South,Beauty,New,Paid Search,4,9.20,71.66,Card
ORD-NVQB-000077,2025-01-02,435.38,West,Electronics,Returning,Organic,2,0.12,139.61,Wallet
ORD-HCSO-000078,2025-01-02,319.93,South,Sports,Returning,Referral,4,13.13,109.10,Bank Transfer
ORD-PKXI-000079,2025-01-02,58.79,Central,Accessories,Returning,Organic,2,8.98,27.80,Card
ORD-BRWM-000080,2025-01-02,41.01,Central,Apparel,New,Referral,1,16.55,14.69,Card
ORD-MLXE-000081,2025-01-02,169.70,South,Sports,New,Social,2,14.99,54.76,Card
ORD-EGTV-000082,2025-01-02,91.78,Central,Home,Returning,Social,1,3.16,33.87,COD
ORD-JVOX-000083,2025-01-02,385.04,South,Electronics,Returning,Email,2,9.56,95.13,COD
ORD-WAEZ-000084,2025-01-02,63.56,North,Accessories,Returning,Email,2,4.11,33.37,Card
ORD-HSXT-000085,2025-01-02,148.99,Central,Home,New,Organic,2,14.26,44.41,Card
ORD-UMNE-000086,2025-01-02,161.89,Central,Beauty,New,Referral,4,9.57,74.47,Card
ORD-IDRF-000087,2025-01-02,29.97,Central,Accessories,Returning,Paid Search,1,9.43,14.82,Card
ORD-FXTR-000088,2025-01-02,142.78,South,Sports,New,Social,2,16.70,49.83,COD
ORD-OWGB-000089,2025-01-02,588.35,Central,Electronics,Returning,Referral,3,13.97,144.91,Card
ORD-ECGR-000090,2025-01-02,60.08,East,Home,New,Paid Search,1,17.16,17.27,COD
ORD-TQWI-000091,2025-01-02,206.21,North,Sports,Returning,Paid Search,2,1.94,81.78,Bank Transfer
ORD-LIXT-000092,2025-01-02,82.77,East,Home,Returning,Email,1,7.76,29.87,Wallet
ORD-KYUD-000093,2025-01-02,84.07,West,Home,Returning,Paid Search,1,17.37,22.26,Card
ORD-DSEX-000094,2025-01-02,413.83,West,Electronics,New,Paid Search,2,6.77,103.26,Card
